complex,modified,references,text_type,sari,bertscore_precision,bertscore_recall,bertscore_f1,lens,lens_salsa
"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.","The armed conflicts are composed of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan. ","['On one side of the conflicts are the Sudanese military and the Janjaweed, a Sudanese militia group.  They are mostly recruited from the Afro-Arab Abbala tribes.', 'One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed. The Janjaweed are a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the armed conflicts is mainly the Sudanese military and the Janjaweed militia group.', 'One side of the war is made up of the Sudanese military and the Janjaweed, a Sudanese militia group from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the war is mainly made up of the Sudanese military and the Janjaweed. The Janjaweed is a Sudanese militia group who come mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the fighters is made up of the Sudanese military and the Janjaweed.  The Janjaweed is a Sudanese militia group.  It is recruited mostly from the Afro-Arab Abbala tribes located in the northern Rizeigat region of Sudan.', 'One side of the armed conflict includes the Sudanese military and the Janjaweed, a Sudanese militia group made up of Afro-Arab Abbala tribesmen.', 'One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed.  The Janjaweed are a Sudanese militia group, with recruits from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the war is mainly the Sudanese military and a Sudanese milita group called the Janjaweed. The Janjaweed is mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'The Sudanese military and Janjaweed work together. The Janjaweed is a militia group. The members were recruited from Afro-Arab Abbala tribes. These tribes are from the northern region of Sudan.']",asset,39.82791381449803,0.9758104085922241,0.9735820889472961,0.9735501408576965,50.606436763186046,55.74921369552612
"Jeddah is the principal gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.","Jeddah is the principal gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit. ","['Muslims are required to visit Mecca once in their lifetime.', ""Able-bodied Muslims are required to visit Mecca, Islam's holiest city, at least once in their lifetime."", ""Jeddah is the way to Mecca, Islam's holiest city, which Muslims who are strong enough must visit at least once a lifetime."", ""Jeddah is the principal gateway to Mecca, Islam's holiest city. Able-bodied Muslims are required to visit Mecca at least once in their lifetime."", ""Jeddah is the gateway to Mecca, Islam's holiest city, which Muslims must visit once in their life."", 'Jeddah is the known way to Mecca, where Muslims are required to visit.', ""Jeddah is the main way to get into Mecca, Islam's holiest city, where able-bodied Muslims are required to visit at least once in their life."", 'Jeddah is the main access point to Mecca. Healthy Muslims are required to visit Mecca at least once in their lifetime.', ""Jeddah is the main gateway to Mecca.  Mecca is Islam's holies city.  Muslims are required to visit Mecca at least once in their life if they are physically capable of doing so."", ""Jeddah is the main gateway to Mecca, Islam's holiest city, which able-bodied Muslims need to visit at least once in their lives.""]",asset,34.73970250770173,0.9798300266265869,0.9633799195289612,0.9665756821632385,48.210426340252276,61.2382173538208
The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune. ,"['The dark spot on Ne;tune may be a hole in the methane clouds.', ""It is likely that Neptune's Great Dark Spot is a hole in the methane cloud deck."", 'The Great Dark Spot is a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot is thought to be a hole in the methane cloud deck of Neptune.', ""The Great Dark Spot is thought to be a hole in Neptune's methane clouds."", 'The Great Dark Spot represents a hole in the methane cloud of Neptune.', 'The Great Dark Spot is believed to be a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot is thought to show a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot represents a hole in the methane cloud deck of Neptune.', ""The Great Dark Spot is a hole in Neptune's methane cloud.""]",asset,57.76719512495433,0.9929705262184143,0.9929705262184143,0.9929705262184143,67.82878876316431,69.00969743728638
"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.",His next work Saturday follows an eventful day in the life of a successful neurosurgeon. ,"['Next Saturday is a presentation of a successful neurosurgeon.', 'An eventful day in the life of a neurosurgeon is shown in his next work, Saturday.', 'His next workday on Saturday is after a busy day as a great neurosurgeon.', 'His next work, Saturday, shows an especially eventful day in the life of a successful neurosurgeon.', 'Saturday follows an eventful day in the life of a neurosurgeon.', 'Saturday tells of an eventful day of a neurosurgeon.', 'His next work, Saturday, follows a very eventful day in the life of a successful neurosurgeon.', 'His next work, Saturday, follows an very busy day in the life of a neurosurgeon.', '""Saturday"" records a very eventful day in the life of a successful neurosurgeon.', 'His next work, Saturday ,shows especially eventful day for a successful neurosurgeon.']",asset,48.59343719501532,0.9809585809707642,0.9774089455604553,0.9760798811912537,48.90779034862189,61.7668092250824
"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength. ","['The tarantula spun a black cord and attached it to the ball. It crawled away fast to the east, pulling on the cord.', 'The tarantula was the trickster character.  It spun a black cord.  Then it attached the cord to the ball, quickly crawled away and pulled on the ball with all its strength.', 'The tarantula which is a trickster, spun a black cord , attached it to the ball, crawled away fast to the east and pulled on the cord with all his strength.', 'The trickster tarantula.spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.', 'The tarantula which is tricky spun a black cord to join with a ball and pull it east with all its power.', 'The tarantula spun a cord and attached it to a ball while going to the east and pulling this cord.', 'The tarantula, spun a black cord and crawled away fast to pull on the cord with all his strength.', 'The tarantula character spun a black cord and attached it to the ball.  He crawled away to the east, pulling on the cord with all his strength.', 'The tarantula (the trickster) spun a black cord and attached it to the ball before it crawled away fast to the east while pulling on the cord with all his strength.', 'The trickster tarantula spun a black cord. It attached it to a ball. Then it crawled away fast, pulling on it with all his strength.']",asset,53.979754353605855,0.9720780253410339,0.9765382409095764,0.9725380539894104,50.167972963775945,60.321903228759766
"There he died six weeks later, on 13 January 888.","There he died six weeks later, on 13 January 888. ","['He died there six weeks later on 13 January 888.', 'He died there six weeks later.  The date was January 13, 888.', 'He died  over there six weeks later, on 13 January 1888.', 'He died six weeks later, on 13 January 888.', 'He died there six weeks later on 13 January 888.', 'He died in January 888.', 'He died there on 13 January 888.', 'He died six weeks later on January 13th, 888.', 'He died there six weeks later on 13 January 888.', 'He died there six weeks later in 888.']",asset,54.19674775030441,0.9776562452316284,0.9849597811698914,0.9812944531440735,55.404489863977865,69.74743604660034
They are culturally akin to the coastal peoples of Papua New Guinea.,They are culturally like the people of Papua New Guinea. ,"['They are culturally similar to the coastal peoples of Papua New Guinea.', 'Their culture is similar to that of the coastal communities of Papua New Guinea.', 'They have the same culture to the coastal people of Papua New Guinea.', 'They are similar to the coastal peoples of Papua New Guinea.', 'They are similar to the Papua New Guinea people living on the coast.', 'They are culturally like Papua New Guinea people.', 'They are related to the peoples of Papua New Guinea.', 'They are culturally similar to the people of Papua New Guinea.', 'They are culturally similar to the coastal peoples of Papua New Guinea.', 'Their culture is like the people who live on the coast of Papua New Guinea.']",asset,54.18134014116157,0.9865319728851318,0.9853843450546265,0.9841451048851013,39.72027126480286,69.42967176437378
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the recipient of the Colin Mears Award has been presented with the Colin Mears Award. ","['Since 2000, the recipient of the Kate Greenaway Medal has also won the £5000 Colin Mears Award.', 'Since 2000, the winner of the Kate Greenaway Medal also receives the Colin Mears Award.  The value of the prize is £5000.', 'Since 2000, the person that receives the Kate Greenaway Medal has also been presented with the Colin Mears Award that has a value of £5000.', 'Since 2000, the Kate Greenaway Medal winner has also been presented with the Colin Mears Award, valued £5000.', 'Since 2000, the winner of the Kate Greenaway Medal won the  Colin Mears Award to the value of £5000.', 'Whoever wins the Kate Greenway Medal also gets The Colin Mears award which is L5000.', 'Since 2000, the recipient of the Kate Greenaway Medal will also receive the Colin Mears Awad which worth 5000 pounds.', 'Since 2000, the recipient of the Kate Greenaway Medal has also been given the Colin Mears Award.', 'The winner of the Kate Greenaway Medal has also been given the Colin Mears Award (valued at £5000) since the year 2000.', 'Many people who receive the Kate Greenaway Medal also win the Colin Mears Award. Its worth £5000.']",asset,36.31227388361541,0.9602944850921631,0.9399315118789673,0.9500039219856262,14.008756400058193,56.65530562400818
"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography. ","['After the drummers are dancers, who often play the sogo (a tiny drum making almost no sound) and usually hav more elaborate — even acrobatic — choreography.', 'After the drummers are dancers with elaborate movements. They often play a tiny drum called the sogo.', 'After the drummers are dancers. The dancers often play the sogo (a small, quiet drum) and usually perform more difficult moves.', 'Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound). They tend to have more elaborate — even acrobatic — choreography.', 'Following the drummers are dancers, who often play the sogo and have more elaborate choreography.', 'After the drummers are dancers that play sogo with more difficult choreography.', 'After the drummers come dangers who often play the sogo.  The sogo is a tiny, almost noiseless drum.  The dancers usually have fancier acrobatic-like dance moves.', 'The dancers play a small soundless drum and have elaborate choreography.', 'The dancers come after the drummers. They often play the sogo which is a tiny drum that makes almost no sound and tend to have more detailed — even acrobatic — dance styles.', 'Dancers come after the drummers who play the sogo ( a tiny drum that makes not too much sound) and has harder dancing.']",asset,51.14665032725095,0.9894002676010132,0.992794394493103,0.9910944104194641,65.14399992380424,68.35307478904724
"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.",The spacecraft consists of two main elements: the NASA Cassini orbiter and the ESA Huygens probe. ,"[""The spacecraft's two main elements are the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens."", ""The spacecraft has two parts: NASA's Cassini orbiter, named after the Italian-French astronomer, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist."", 'The spacecraft has two main parts: the NASA Cassini orbiter, and the ESA Huygens probe.', 'The spacecraft consists of two main elements. The NASA Cassini orbiter is named after the Italian-French astronomer Giovanni Domenico Cassini.The ESA Huygens probe is named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft is made up of two main parts:  the NASA Cassini orbiter, named after the astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft hasof two main elements: the NASA Cassini orbiter and the ESA Huygens probe.', 'The spacecraft has two main parts: the NASA Cassini orbiter and the ESA Huygens probe.  The orbiter is named after the Italian-French astronomer Giovanni Domenico Cassini.  The probe is named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft has two main parts:  the Cassini orbiter and the Huygens probe.', 'The spacecraft made up of two main part; the first one is the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini. The other part is the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The NASA Cassini orbiter, named after Italian-French scientist Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch scientist Christiaan Huygens has two parts.']",asset,30.84920297335164,0.9876621961593628,0.9846838712692261,0.986170768737793,88.2371290411775,105.674147605896
"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.","Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player. ","['Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former footballer.', 'Allesandro ""Sandro"" Mazzola is an Italian former football player.', 'Alessandro Mazzola is an Italian former football player.', 'Alessandro (""Sandro"") Mazzola is a former Italian football player. He was born on 8 November 1942.', 'Alessandro Mazzolo is an Italian former football player.', 'Alessandro Mazzola  is an Italian former football player.', 'Alessandro Mazzola, born November 8, 1942 was an Italian football player.', 'Allessandro Mazzola born in 1942 is a former football player.', 'Alessandro (""Sandro"") Mazzola who was born on 8 November 1942 is an Italian former football player.', 'IItalian Alessandro (""Sandro"") Mazzola (born 8 November 1942) was a football player.']",asset,53.79632081287823,0.9952852129936218,0.997675895690918,0.9964790940284729,70.44455883776361,68.54695081710815
It was originally thought that the debris thrown up by the collision filled in the smaller craters.,It was originally thought that the debris thrown up by the collision filled in the smaller craters. ,"['The smaller craters were originally thought to be filled by collision debris.', 'Originally, it was thought that debris from the collision filled in the smaller craters.', 'It was thought at first that the impact threw up dirt and sand that filled in the smaller craters.', 'It was thought that the debris thrown up by the collision filled in the smaller craters.', 'It was once thought that the debris from the collision filled the smaller craters.', 'It was thought that the debris left by the impact filled in the craters.', 'It was first thought that the debris thrown up by the crash filled in the smaller craters.', 'It was thought that the rubble from the collision filled in the smaller craters.', 'Originally, the thought was that the debris thrown up by the collision will fill n the smaller craters.', 'It was thought at first that junk thrown by the banging together filled in small holes.']",asset,54.08489854061534,0.9922990798950195,0.9942009449005127,0.9922990798950195,60.79634449867719,52.51660346984863
"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.","Graham attended Wheaton College from 1939 to 1943, when he graduated with an BA in anthropology. ","['Graham graduated with a BA in anthropology from Wheaton College.', 'Graham was a student at Wheaton College from 1939 to 1943, and he graduated with a four year degree in anthropology.', 'Graham went to Wheaton College 1939 to 1943 and graduated with a BA in studying human societies.', 'Graham graduated from Wheaton College in 1943 with a BA in anthropology.', 'Graham went to school at Wheaton College from 1939 to 1943. He graduated and earned a BA in anthropology.', 'Graham graduated from Wheaton College with a BA in anthropology.', 'Graham went to Wheaton College from 1939-1943.  He graduated with a BA in anthropology.', 'Graham went to Wheaton College from 1939 to 1943 and received a BA in anthropology.', 'Graham went to Wheaton College and earned a degree in anthropology.', 'Graham attended Wheaton College  from 1939 to 1943 and  graduated with a BA in anthropology.']",asset,26.761049102651402,0.9665791988372803,0.9705544710159302,0.9630469083786011,43.10652268769397,65.65219759941101
"However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.","However, the BZÖ differs a bit in comparison to the Freedom Party, as in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal. ","['However, the BZO is not the same as the Freedom Party.', 'The BZÖ is different from the Freedom Party because it is against an EU-WIthdrawal.', 'The BZO is different from the Freedom Party because it supports changes to the Lisbon Treaty but is not for the EU-Withdrawel.', 'The BZÖ is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.', 'BZÖ is a little different from the Freedom Party. BZÖ supports a public vote on the Lisbon Treaty. It is also against leaving the EU.', 'The BZO is a bit different than the Freedom Party.  They are in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.', 'The BZO differs slightly from the Freedom Party, in that it supports a referendum about the Lisbon Treaty but is against an EU-Withdrawal.', 'Unlike the Freedom Party, the BZÖ supports voting about the Lisbon Treaty but against an EU-Withdrawal.', ""The BZO approves of the Lisbon Treaty but doesn't like the EU-Withdrawal"", 'However, the BZÖ is slightly different compared to the Freedom Party, which supports a referendum about the Lisbon Treaty but against an EU-Withdrawal.']",asset,40.19548066450029,0.9706022143363953,0.9781067371368408,0.97434002161026,48.835815123752255,58.74534845352173
"Many species had vanished by the end of the nineteenth century, with European settlement.",Many species had disappeared by the end of the nineteenth century. ,"['Many species had vanished with European settlement.', 'A lot of species had disappeared by the end of the nineteenth century because of European settlement.', 'Many types of animals had been gone by the end of the nineteenth century with European communities coming there.', 'Many species disappeared by the end of the nineteenth century, with European settlement.', 'Europeans settled on the land, so many species disappeared by the end of the 1800s.', 'By the end of the 19th century many species had disappeared, with European settlement.', 'Due to European settlements, many types had disappeared by the end of the 19th century.', 'European settlement caused many species to disappear by the end of the nineteenth century.', 'The Europeans pushed many animals off of the land.', 'Many species had died by the end of the 19th century because of the European community.']",asset,52.17616971402469,0.9837183952331543,0.9480662941932678,0.9639327526092529,74.03311382882708,74.90179538726807
In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,Wexler was inducted into the Rock and Roll Hall of Fame. ,"['In 1987 Wexler was recognized into the Rock and Roll Hall of Fame.', 'In 1987 Wexler became a part of the Rock and Roll Hall of Fame.', 'In 1987 Wexler was put into the Rock and Roll Hall of Fame.', 'Wexler was inducted into the Rock and Roll Hall of Fame in 1987.', 'Wexler was added to the Rock and Roll Hall of Fame in 1987.', 'Wexler was admitted into the Rock and Roll Hall of Fame in 1987.', 'In 1987 Wexler became a member of the Rock and Roll Hall of Fame.', 'The Rock and Roll Hall of Fame put in Wexler in 1987', 'Wexler went into the Rock and Roll Hall of Fame in 1987', 'In 1987 Wexler was introduced to the Rock and Roll Hall of Fame.']",asset,39.705631185505894,0.9942493438720703,0.980260968208313,0.9872055649757385,71.02695866863439,72.98088669776917
"In its pure form, dextromethorphan occurs as a white powder.","In its pure form, dextromethorphan occurs as a white powder. ","['Dextromethorphan appears as a white powder in its natural form.', 'Pure dextromethorphan is a white powder.', 'In its natural form dextromethorphan is a white powder.', 'In its pure form, dextromethorphan looks like a white powder.', 'In the pure form the chemical is a white powder.', 'Pure dextromethorphan is a white powder.', 'Dextromethorphan is a white powder in pure form.', 'Dextromethohpan is a white powder when pure.', 'Dextromethorphan is a white powder in its pure form.', 'Pure dexdextromethorphan is a white powder.']",asset,48.93143449032789,0.9808051586151123,0.98246830701828,0.9816359877586365,57.99488168392601,62.56574988365173
