complex,modified,references,text_type,sari,bertscore_precision,bertscore_recall,bertscore_f1,lens,lens_salsa
"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.","The side of the armed conflict is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group.​","['On one side of the conflicts are the Sudanese military and the Janjaweed, a Sudanese militia group.  They are mostly recruited from the Afro-Arab Abbala tribes.', 'One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed. The Janjaweed are a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the armed conflicts is mainly the Sudanese military and the Janjaweed militia group.', 'One side of the war is made up of the Sudanese military and the Janjaweed, a Sudanese militia group from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the war is mainly made up of the Sudanese military and the Janjaweed. The Janjaweed is a Sudanese militia group who come mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the fighters is made up of the Sudanese military and the Janjaweed.  The Janjaweed is a Sudanese militia group.  It is recruited mostly from the Afro-Arab Abbala tribes located in the northern Rizeigat region of Sudan.', 'One side of the armed conflict includes the Sudanese military and the Janjaweed, a Sudanese militia group made up of Afro-Arab Abbala tribesmen.', 'One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed.  The Janjaweed are a Sudanese militia group, with recruits from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the war is mainly the Sudanese military and a Sudanese milita group called the Janjaweed. The Janjaweed is mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'The Sudanese military and Janjaweed work together. The Janjaweed is a militia group. The members were recruited from Afro-Arab Abbala tribes. These tribes are from the northern region of Sudan.']",asset,35.56522326729751,0.9675235748291016,0.977562665939331,0.9673545956611633,65.36266932165015,60.17199158668518
"Jeddah is the principal gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.","Jeddah is the gateway to Mecca, Islam's holiest city, which Muslims must visit at least once in their lifetime.​","['Muslims are required to visit Mecca once in their lifetime.', ""Able-bodied Muslims are required to visit Mecca, Islam's holiest city, at least once in their lifetime."", ""Jeddah is the way to Mecca, Islam's holiest city, which Muslims who are strong enough must visit at least once a lifetime."", ""Jeddah is the principal gateway to Mecca, Islam's holiest city. Able-bodied Muslims are required to visit Mecca at least once in their lifetime."", ""Jeddah is the gateway to Mecca, Islam's holiest city, which Muslims must visit once in their life."", 'Jeddah is the known way to Mecca, where Muslims are required to visit.', ""Jeddah is the main way to get into Mecca, Islam's holiest city, where able-bodied Muslims are required to visit at least once in their life."", 'Jeddah is the main access point to Mecca. Healthy Muslims are required to visit Mecca at least once in their lifetime.', ""Jeddah is the main gateway to Mecca.  Mecca is Islam's holies city.  Muslims are required to visit Mecca at least once in their life if they are physically capable of doing so."", ""Jeddah is the main gateway to Mecca, Islam's holiest city, which able-bodied Muslims need to visit at least once in their lives.""]",asset,45.66411728905649,0.9739584922790527,0.9919599294662476,0.9828768372535706,62.18672216073553,66.94982647895813
The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.​,"['The dark spot on Ne;tune may be a hole in the methane clouds.', ""It is likely that Neptune's Great Dark Spot is a hole in the methane cloud deck."", 'The Great Dark Spot is a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot is thought to be a hole in the methane cloud deck of Neptune.', ""The Great Dark Spot is thought to be a hole in Neptune's methane clouds."", 'The Great Dark Spot represents a hole in the methane cloud of Neptune.', 'The Great Dark Spot is believed to be a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot is thought to show a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot represents a hole in the methane cloud deck of Neptune.', ""The Great Dark Spot is a hole in Neptune's methane cloud.""]",asset,57.76719512495433,0.9808681011199951,0.9927165508270264,0.9867567420005798,67.62047752345507,68.33840012550354
"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.","His next work, Saturday, follows an eventful day in the life of a successful neurosurgeon.​","['Next Saturday is a presentation of a successful neurosurgeon.', 'An eventful day in the life of a neurosurgeon is shown in his next work, Saturday.', 'His next workday on Saturday is after a busy day as a great neurosurgeon.', 'His next work, Saturday, shows an especially eventful day in the life of a successful neurosurgeon.', 'Saturday follows an eventful day in the life of a neurosurgeon.', 'Saturday tells of an eventful day of a neurosurgeon.', 'His next work, Saturday, follows a very eventful day in the life of a successful neurosurgeon.', 'His next work, Saturday, follows an very busy day in the life of a neurosurgeon.', '""Saturday"" records a very eventful day in the life of a successful neurosurgeon.', 'His next work, Saturday ,shows especially eventful day for a successful neurosurgeon.']",asset,53.47443678926352,0.9840090870857239,0.9894406795501709,0.9867174625396729,61.32785470185102,65.28081893920898
"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","The tarantula spun a black cord, attached it to a ball, and crawled away fast to the east, pulling on the cord with all his strength.​","['The tarantula spun a black cord and attached it to the ball. It crawled away fast to the east, pulling on the cord.', 'The tarantula was the trickster character.  It spun a black cord.  Then it attached the cord to the ball, quickly crawled away and pulled on the ball with all its strength.', 'The tarantula which is a trickster, spun a black cord , attached it to the ball, crawled away fast to the east and pulled on the cord with all his strength.', 'The trickster tarantula.spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.', 'The tarantula which is tricky spun a black cord to join with a ball and pull it east with all its power.', 'The tarantula spun a cord and attached it to a ball while going to the east and pulling this cord.', 'The tarantula, spun a black cord and crawled away fast to pull on the cord with all his strength.', 'The tarantula character spun a black cord and attached it to the ball.  He crawled away to the east, pulling on the cord with all his strength.', 'The tarantula (the trickster) spun a black cord and attached it to the ball before it crawled away fast to the east while pulling on the cord with all his strength.', 'The trickster tarantula spun a black cord. It attached it to a ball. Then it crawled away fast, pulling on it with all his strength.']",asset,52.129262785886624,0.9662082195281982,0.9790099859237671,0.9661299586296082,64.27860488564869,73.6670434474945
"There he died six weeks later, on 13 January 888.","On 13 January 888, he died.​","['He died there six weeks later on 13 January 888.', 'He died there six weeks later.  The date was January 13, 888.', 'He died  over there six weeks later, on 13 January 1888.', 'He died six weeks later, on 13 January 888.', 'He died there six weeks later on 13 January 888.', 'He died in January 888.', 'He died there on 13 January 888.', 'He died six weeks later on January 13th, 888.', 'He died there six weeks later on 13 January 888.', 'He died there six weeks later in 888.']",asset,35.77968445553192,0.936773955821991,0.9510419964790344,0.9438540935516357,35.40718091726365,60.050761699676514
They are culturally akin to the coastal peoples of Papua New Guinea.,The coastal people of Papua New Guinea are akin to the Lau.​,"['They are culturally similar to the coastal peoples of Papua New Guinea.', 'Their culture is similar to that of the coastal communities of Papua New Guinea.', 'They have the same culture to the coastal people of Papua New Guinea.', 'They are similar to the coastal peoples of Papua New Guinea.', 'They are similar to the Papua New Guinea people living on the coast.', 'They are culturally like Papua New Guinea people.', 'They are related to the peoples of Papua New Guinea.', 'They are culturally similar to the people of Papua New Guinea.', 'They are culturally similar to the coastal peoples of Papua New Guinea.', 'Their culture is like the people who live on the coast of Papua New Guinea.']",asset,43.32756069017679,0.9237999320030212,0.9457303285598755,0.9346365332603455,26.24012913287213,60.76393127441406
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.​","['Since 2000, the recipient of the Kate Greenaway Medal has also won the £5000 Colin Mears Award.', 'Since 2000, the winner of the Kate Greenaway Medal also receives the Colin Mears Award.  The value of the prize is £5000.', 'Since 2000, the person that receives the Kate Greenaway Medal has also been presented with the Colin Mears Award that has a value of £5000.', 'Since 2000, the Kate Greenaway Medal winner has also been presented with the Colin Mears Award, valued £5000.', 'Since 2000, the winner of the Kate Greenaway Medal won the  Colin Mears Award to the value of £5000.', 'Whoever wins the Kate Greenway Medal also gets The Colin Mears award which is L5000.', 'Since 2000, the recipient of the Kate Greenaway Medal will also receive the Colin Mears Awad which worth 5000 pounds.', 'Since 2000, the recipient of the Kate Greenaway Medal has also been given the Colin Mears Award.', 'The winner of the Kate Greenaway Medal has also been given the Colin Mears Award (valued at £5000) since the year 2000.', 'Many people who receive the Kate Greenaway Medal also win the Colin Mears Award. Its worth £5000.']",asset,54.54134956097148,0.9705427885055542,0.9874398112297058,0.974172055721283,58.598063057781424,59.92223024368286
"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.​","['After the drummers are dancers, who often play the sogo (a tiny drum making almost no sound) and usually hav more elaborate — even acrobatic — choreography.', 'After the drummers are dancers with elaborate movements. They often play a tiny drum called the sogo.', 'After the drummers are dancers. The dancers often play the sogo (a small, quiet drum) and usually perform more difficult moves.', 'Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound). They tend to have more elaborate — even acrobatic — choreography.', 'Following the drummers are dancers, who often play the sogo and have more elaborate choreography.', 'After the drummers are dancers that play sogo with more difficult choreography.', 'After the drummers come dangers who often play the sogo.  The sogo is a tiny, almost noiseless drum.  The dancers usually have fancier acrobatic-like dance moves.', 'The dancers play a small soundless drum and have elaborate choreography.', 'The dancers come after the drummers. They often play the sogo which is a tiny drum that makes almost no sound and tend to have more detailed — even acrobatic — dance styles.', 'Dancers come after the drummers who play the sogo ( a tiny drum that makes not too much sound) and has harder dancing.']",asset,51.14665032725095,0.9823198318481445,0.9920142292976379,0.9871432781219482,64.57665606782082,68.41052770614624
"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","The Cassini-Huygens spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.​","[""The spacecraft's two main elements are the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens."", ""The spacecraft has two parts: NASA's Cassini orbiter, named after the Italian-French astronomer, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist."", 'The spacecraft has two main parts: the NASA Cassini orbiter, and the ESA Huygens probe.', 'The spacecraft consists of two main elements. The NASA Cassini orbiter is named after the Italian-French astronomer Giovanni Domenico Cassini.The ESA Huygens probe is named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft is made up of two main parts:  the NASA Cassini orbiter, named after the astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft hasof two main elements: the NASA Cassini orbiter and the ESA Huygens probe.', 'The spacecraft has two main parts: the NASA Cassini orbiter and the ESA Huygens probe.  The orbiter is named after the Italian-French astronomer Giovanni Domenico Cassini.  The probe is named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft has two main parts:  the Cassini orbiter and the Huygens probe.', 'The spacecraft made up of two main part; the first one is the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini. The other part is the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The NASA Cassini orbiter, named after Italian-French scientist Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch scientist Christiaan Huygens has two parts.']",asset,48.336376219457016,0.9720507860183716,0.9846099019050598,0.9782900214195251,63.677840053210325,62.539416551589966
