complex,modified,references,text_type,sari,bertscore_precision,bertscore_recall,bertscore_f1,lens,lens_salsa
"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.","​The armed conflicts in northern Rizeigat, the Sudanese military and the Janjaweed are mostly","['On one side of the conflicts are the Sudanese military and the Janjaweed, a Sudanese militia group.  They are mostly recruited from the Afro-Arab Abbala tribes.', 'One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed. The Janjaweed are a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the armed conflicts is mainly the Sudanese military and the Janjaweed militia group.', 'One side of the war is made up of the Sudanese military and the Janjaweed, a Sudanese militia group from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the war is mainly made up of the Sudanese military and the Janjaweed. The Janjaweed is a Sudanese militia group who come mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the fighters is made up of the Sudanese military and the Janjaweed.  The Janjaweed is a Sudanese militia group.  It is recruited mostly from the Afro-Arab Abbala tribes located in the northern Rizeigat region of Sudan.', 'One side of the armed conflict includes the Sudanese military and the Janjaweed, a Sudanese militia group made up of Afro-Arab Abbala tribesmen.', 'One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed.  The Janjaweed are a Sudanese militia group, with recruits from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'One side of the war is mainly the Sudanese military and a Sudanese milita group called the Janjaweed. The Janjaweed is mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.', 'The Sudanese military and Janjaweed work together. The Janjaweed is a militia group. The members were recruited from Afro-Arab Abbala tribes. These tribes are from the northern region of Sudan.']",asset,28.813174895318472,0.9200626611709595,0.9136711955070496,0.9019421339035034,4.412921082533428,29.063725471496582
"Jeddah is the principal gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.","​Jeddah is the main gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.","['Muslims are required to visit Mecca once in their lifetime.', ""Able-bodied Muslims are required to visit Mecca, Islam's holiest city, at least once in their lifetime."", ""Jeddah is the way to Mecca, Islam's holiest city, which Muslims who are strong enough must visit at least once a lifetime."", ""Jeddah is the principal gateway to Mecca, Islam's holiest city. Able-bodied Muslims are required to visit Mecca at least once in their lifetime."", ""Jeddah is the gateway to Mecca, Islam's holiest city, which Muslims must visit once in their life."", 'Jeddah is the known way to Mecca, where Muslims are required to visit.', ""Jeddah is the main way to get into Mecca, Islam's holiest city, where able-bodied Muslims are required to visit at least once in their life."", 'Jeddah is the main access point to Mecca. Healthy Muslims are required to visit Mecca at least once in their lifetime.', ""Jeddah is the main gateway to Mecca.  Mecca is Islam's holies city.  Muslims are required to visit Mecca at least once in their life if they are physically capable of doing so."", ""Jeddah is the main gateway to Mecca, Islam's holiest city, which able-bodied Muslims need to visit at least once in their lives.""]",asset,48.460277846276064,0.9697203636169434,0.9754270315170288,0.9717699289321899,59.81639701378649,66.87399744987488
The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,​The Great Dark Spot is a hole in the methane cloud deck of Neptune.,"['The dark spot on Ne;tune may be a hole in the methane clouds.', ""It is likely that Neptune's Great Dark Spot is a hole in the methane cloud deck."", 'The Great Dark Spot is a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot is thought to be a hole in the methane cloud deck of Neptune.', ""The Great Dark Spot is thought to be a hole in Neptune's methane clouds."", 'The Great Dark Spot represents a hole in the methane cloud of Neptune.', 'The Great Dark Spot is believed to be a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot is thought to show a hole in the methane cloud deck of Neptune.', 'The Great Dark Spot represents a hole in the methane cloud deck of Neptune.', ""The Great Dark Spot is a hole in Neptune's methane cloud.""]",asset,52.76515899395119,0.9781683683395386,0.9870957136154175,0.9826117753982544,65.3320014440793,68.97302269935608
"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.","​His next work, Saturday follows an especially eventful day in the life of a successful neurosurgeon.","['Next Saturday is a presentation of a successful neurosurgeon.', 'An eventful day in the life of a neurosurgeon is shown in his next work, Saturday.', 'His next workday on Saturday is after a busy day as a great neurosurgeon.', 'His next work, Saturday, shows an especially eventful day in the life of a successful neurosurgeon.', 'Saturday follows an eventful day in the life of a neurosurgeon.', 'Saturday tells of an eventful day of a neurosurgeon.', 'His next work, Saturday, follows a very eventful day in the life of a successful neurosurgeon.', 'His next work, Saturday, follows an very busy day in the life of a neurosurgeon.', '""Saturday"" records a very eventful day in the life of a successful neurosurgeon.', 'His next work, Saturday ,shows especially eventful day for a successful neurosurgeon.']",asset,41.07670635976156,0.9627076387405396,0.9676783084869385,0.9651865363121033,46.557135902018096,58.13208818435669
"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","​The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east.","['The tarantula spun a black cord and attached it to the ball. It crawled away fast to the east, pulling on the cord.', 'The tarantula was the trickster character.  It spun a black cord.  Then it attached the cord to the ball, quickly crawled away and pulled on the ball with all its strength.', 'The tarantula which is a trickster, spun a black cord , attached it to the ball, crawled away fast to the east and pulled on the cord with all his strength.', 'The trickster tarantula.spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.', 'The tarantula which is tricky spun a black cord to join with a ball and pull it east with all its power.', 'The tarantula spun a cord and attached it to a ball while going to the east and pulling this cord.', 'The tarantula, spun a black cord and crawled away fast to pull on the cord with all his strength.', 'The tarantula character spun a black cord and attached it to the ball.  He crawled away to the east, pulling on the cord with all his strength.', 'The tarantula (the trickster) spun a black cord and attached it to the ball before it crawled away fast to the east while pulling on the cord with all his strength.', 'The trickster tarantula spun a black cord. It attached it to a ball. Then it crawled away fast, pulling on it with all his strength.']",asset,31.206400856015648,0.9537945985794067,0.9574558138847351,0.948084831237793,51.58368167898293,65.84462523460388
"There he died six weeks later, on 13 January 888.","​There he died six weeks later, on 13 January 2430. There he died six weeks later, on 13 January 2430.","['He died there six weeks later on 13 January 888.', 'He died there six weeks later.  The date was January 13, 888.', 'He died  over there six weeks later, on 13 January 1888.', 'He died six weeks later, on 13 January 888.', 'He died there six weeks later on 13 January 888.', 'He died in January 888.', 'He died there on 13 January 888.', 'He died six weeks later on January 13th, 888.', 'He died there six weeks later on 13 January 888.', 'He died there six weeks later in 888.']",asset,28.492553685871453,0.8913189768791199,0.9251610040664673,0.9079247713088989,5.460563464851859,50.58605670928955
They are culturally akin to the coastal peoples of Papua New Guinea.,​They are culturally similar to the coastal peoples of Papua New Guinea.,"['They are culturally similar to the coastal peoples of Papua New Guinea.', 'Their culture is similar to that of the coastal communities of Papua New Guinea.', 'They have the same culture to the coastal people of Papua New Guinea.', 'They are similar to the coastal peoples of Papua New Guinea.', 'They are similar to the Papua New Guinea people living on the coast.', 'They are culturally like Papua New Guinea people.', 'They are related to the peoples of Papua New Guinea.', 'They are culturally similar to the people of Papua New Guinea.', 'They are culturally similar to the coastal peoples of Papua New Guinea.', 'Their culture is like the people who live on the coast of Papua New Guinea.']",asset,55.33195316221086,0.9759231805801392,0.9874163866043091,0.9816361665725708,71.20286216912955,66.37780666351318
"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","​Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000. Edmontonia was an armoured dinosaur from the Late Cretaceous Period.","['Since 2000, the recipient of the Kate Greenaway Medal has also won the £5000 Colin Mears Award.', 'Since 2000, the winner of the Kate Greenaway Medal also receives the Colin Mears Award.  The value of the prize is £5000.', 'Since 2000, the person that receives the Kate Greenaway Medal has also been presented with the Colin Mears Award that has a value of £5000.', 'Since 2000, the Kate Greenaway Medal winner has also been presented with the Colin Mears Award, valued £5000.', 'Since 2000, the winner of the Kate Greenaway Medal won the  Colin Mears Award to the value of £5000.', 'Whoever wins the Kate Greenway Medal also gets The Colin Mears award which is L5000.', 'Since 2000, the recipient of the Kate Greenaway Medal will also receive the Colin Mears Awad which worth 5000 pounds.', 'Since 2000, the recipient of the Kate Greenaway Medal has also been given the Colin Mears Award.', 'The winner of the Kate Greenaway Medal has also been given the Colin Mears Award (valued at £5000) since the year 2000.', 'Many people who receive the Kate Greenaway Medal also win the Colin Mears Award. Its worth £5000.']",asset,29.545705710930225,0.9028670787811279,0.9691640138626099,0.9315656423568726,57.23633315029693,58.84919762611389
"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","​Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","['After the drummers are dancers, who often play the sogo (a tiny drum making almost no sound) and usually hav more elaborate — even acrobatic — choreography.', 'After the drummers are dancers with elaborate movements. They often play a tiny drum called the sogo.', 'After the drummers are dancers. The dancers often play the sogo (a small, quiet drum) and usually perform more difficult moves.', 'Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound). They tend to have more elaborate — even acrobatic — choreography.', 'Following the drummers are dancers, who often play the sogo and have more elaborate choreography.', 'After the drummers are dancers that play sogo with more difficult choreography.', 'After the drummers come dangers who often play the sogo.  The sogo is a tiny, almost noiseless drum.  The dancers usually have fancier acrobatic-like dance moves.', 'The dancers play a small soundless drum and have elaborate choreography.', 'The dancers come after the drummers. They often play the sogo which is a tiny drum that makes almost no sound and tend to have more detailed — even acrobatic — dance styles.', 'Dancers come after the drummers who play the sogo ( a tiny drum that makes not too much sound) and has harder dancing.']",asset,44.58144112460607,0.9801356196403503,0.9840524792671204,0.982090175151825,64.59706892059181,67.2182559967041
"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","​The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.","[""The spacecraft's two main elements are the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens."", ""The spacecraft has two parts: NASA's Cassini orbiter, named after the Italian-French astronomer, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist."", 'The spacecraft has two main parts: the NASA Cassini orbiter, and the ESA Huygens probe.', 'The spacecraft consists of two main elements. The NASA Cassini orbiter is named after the Italian-French astronomer Giovanni Domenico Cassini.The ESA Huygens probe is named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft is made up of two main parts:  the NASA Cassini orbiter, named after the astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft hasof two main elements: the NASA Cassini orbiter and the ESA Huygens probe.', 'The spacecraft has two main parts: the NASA Cassini orbiter and the ESA Huygens probe.  The orbiter is named after the Italian-French astronomer Giovanni Domenico Cassini.  The probe is named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The spacecraft has two main parts:  the Cassini orbiter and the Huygens probe.', 'The spacecraft made up of two main part; the first one is the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini. The other part is the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.', 'The NASA Cassini orbiter, named after Italian-French scientist Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch scientist Christiaan Huygens has two parts.']",asset,39.97458212984497,0.9855825304985046,0.989406168460846,0.9874905943870544,71.83731144589066,59.46891903877258
